Rk,▴,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
1,Fay Abbott,2,1928-1929,13,0,13,0,.000,-13,0,0,0,0,,11.0,10,0,0,0
2,Frankie Albert,3,1956-1958,36,19,16,1,.543,3,1,1,0,1,.000,2.7,1,0,0,0
3,Doc Alexander,2,1922-1926,18,8,8,2,.500,0,0,0,0,0,,10.5,6,0,0,0
4,Dennis Allen,2,2012-2013,32,8,24,0,.250,-16,0,0,0,0,,3.5,3,,,
5,George Allen,12,1966-1977,168,116,47,5,.712,69,7,9,2,7,.222,1.9,1,0,0,1
6,Hunk Anderson,4,1942-1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
7,Roy Andrews,8,1924-1931,82,51,27,4,.654,24,0,0,0,0,,5.9,2,0,0,0
8,Bruce Arians,1,2013,16,10,6,0,.625,4,0,0,0,0,,3.0,3,,,
9,John Armstrong,1,1924,9,5,2,2,.714,3,0,0,0,0,,5.0,5,0,0,0
10,Neill Armstrong,4,1978-1981,64,30,34,0,.469,-4,1,1,0,1,.000,3.5,2,0,0,0
11,Bill Arnsparger,3,1974-1976,35,7,28,0,.200,-21,0,0,0,0,,4.7,4,,,
12,Bill Austin,4,1966-1970,56,17,36,3,.321,-19,0,0,0,0,,4.5,4,0,0,0
13,Joe Bach,4,1935-1953,48,21,27,0,.438,-6,0,0,0,0,,3.3,2,0,0,0
14,Herman Ball,3,1949-1951,20,4,16,0,.200,-12,0,0,0,0,,4.3,3,0,0,0
15,Shorty Barr,1,1926,3,1,2,0,.333,-1,0,0,0,0,,16.0,16,0,0,0
16,Norm Barry,2,1925-1926,26,16,8,2,.667,8,0,0,0,0,,5.5,1,1,0,0
17,Jim Bates,1,2004,7,3,4,0,.429,-1,0,0,0,0,,4.0,4,,,
18,Dim Batterson,1,1927,5,0,5,0,.000,-5,0,0,0,0,,12.0,12,0,0,0
19,Cliff Battles+,2,1946-1947,21,4,16,1,.200,-12,0,0,0,0,,2.5,2,0,0,0
20,Sammy Baugh+,3,1960-1964,42,18,24,0,.429,-6,0,0,0,0,,3.0,2,0,0,0
21,Bull Behman,3,1929-1931,40,13,20,7,.394,-7,0,0,0,0,,7.0,3,0,0,0
22,Bill Belichick,19,1991-2013,304,199,105,0,.655,94,12,28,19,9,.679,1.8,1,3,3,5
23,Bert Bell,6,1936-1941,58,10,46,2,.179,-36,0,0,0,0,,4.7,4,0,0,0
24,Phil Bengtson,4,1968-1972,47,21,25,1,.457,-4,0,0,0,0,,3.5,3,0,0,0
25,Leeman Bennett,8,1977-1986,119,50,69,0,.420,-19,3,4,1,3,.250,2.6,1,0,0,0
26,Dutch Bergman,1,1943,10,6,3,1,.667,3,1,2,1,1,.500,1.0,1,0,0,0
27,Raymond Berry+,6,1984-1989,87,48,39,0,.552,9,2,5,3,2,.600,2.5,1,0,0,1
28,Punk Berryman,2,1924-1926,25,14,10,1,.583,4,0,0,0,0,,8.5,3,0,0,0
29,Tom Bettis,1,1977,7,1,6,0,.143,-5,0,0,0,0,,5.0,5,0,0,0
30,Hugo Bezdek,2,1937-1938,14,1,13,0,.071,-12,0,0,0,0,,4.5,4,0,0,0
