Date,Day,Season,Team,Name,Opp,Site,Tackles,Assists,Sacks,Forced Fumbles,Interceptions
"Sep 23, 2001",Sunday,2001,Bears,Rosevelt Colvin,Vikings,home,8,1,0,1,0
"Sep 23, 2001",Sunday,2001,Bears,Warrick Holdman,Vikings,home,7,1,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Jerry Azumah,Vikings,home,5,1,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Walt Harris,Vikings,home,5,1,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Brian Urlacher,Vikings,home,4,0,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Mike Brown,Vikings,home,3,2,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Phillip Daniels,Vikings,home,3,1,2,1,0
"Sep 23, 2001",Sunday,2001,Bears,RW McQuarters,Vikings,home,3,0,1,1,0
"Sep 23, 2001",Sunday,2001,Bears,Tony Parrish,Vikings,home,3,1,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Keith Traylor,Vikings,home,3,0,0,0,0
"Sep 23, 2001",Sunday,2001,Bears,Bryan Robinson,Vikings,home,2,0,0,0,0
"Sep 23, 2001",Sunday,2001,Vikings,Orlando Thomas,Bears,away,5,0,0,0,1
"Sep 23, 2001",Sunday,2001,Vikings,Ed McDaniel,Bears,away,4,0,0,0,0
"Sep 23, 2001",Sunday,2001,Vikings,Robert Tate,Bears,away,4,0,0,0,0
"Sep 23, 2001",Sunday,2001,Vikings,Kailee Wong,Bears,away,4,1,0,0,0
"Sep 23, 2001",Sunday,2001,Vikings,Kenny Wright,Bears,away,4,0,0,0,0
"Sep 23, 2001",Sunday,2001,Vikings,Lance Johnstone,Bears,away,2,0,0,0,0
"Sep 23, 2001",Sunday,2001,Bengals,Chris Carter,Ravens,home,5,4,0,0,0
"Sep 23, 2001",Sunday,2001,Bengals,Takeo Spikes,Ravens,home,5,1,0,0,1
"Sep 23, 2001",Sunday,2001,Bengals,Rodney Heath,Ravens,home,4,0,0,0,0
"Sep 23, 2001",Sunday,2001,Bengals,Reinard Wilson,Ravens,home,3,3,0.5,0,0
"Sep 23, 2001",Sunday,2001,Bengals,Artrell Hawkins,Ravens,home,2,1,0,0,1
"Sep 23, 2001",Sunday,2001,Bengals,Tom Carter,Ravens,home,1,0,0,0,0
"Sep 23, 2001",Sunday,2001,Ravens,Corey Harris,Bengals,away,8,1,0,0,0
"Sep 23, 2001",Sunday,2001,Ravens,Jamie Sharper,Bengals,away,5,2,1,0,0
"Sep 23, 2001",Sunday,2001,Ravens,Ray Lewis,Bengals,away,4,4,0,0,0
